action_date,war_gov_id,source_url,piid,in_scope_17_piids,amount_usd,prime,prime_location,expected_completion,pop_eb_site_pct,pop_hii_site_pct,pop_other_us_pct,pop_foreign_pct,pop_locations_detail,paragraph_text,program_primary,program_all,work_type_primary,work_type_all,work_type_ambiguous,is_sub_new_construction_tam,program_refined,sub_relevance
2025-01-08,4024737,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4024737.htm,N00024-25-C-5409,no,333281489,Raytheon Co.,"Tucson, Arizona",October 2027,0.0,0.0,100.0,0.0,"Work will be performed in Tucson, Arizona 74% | Huntsville, Alabama 19% | Andover, Massachusetts 5% | Dine, New Mexico 2%","Raytheon Co., Tucson, Arizona, was awarded a $333,281,489 firm-fixed-price and cost-plus-fixed fee contract for Standard Missile-6 (SM-6) full rate production requirements, spares, and round design agent. This contract includes options which, if exercised, would bring the cumulative value of this contract to $908,144,803. Work will be performed in Tucson, Arizona (74%); Huntsville, Alabama (19%); Andover, Massachusetts (5%); and Dine, New Mexico (2%), and is expected to be completed by October 2027. If all options are exercised, work will continue through September 2030. Fiscal 2024 weapons procurement (Navy) funding in the amount of $333,281,489 was obligated at time of award and will not expire at the end of the current fiscal year. This contract was not competitively procured in accordance with 10 U.S. Code 3204(a)(1) (only one responsible source and no other supplies or services will satisfy agency requirements). Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-25-C-5409).",missile_weapons,missile_weapons,lead_yard,lead_yard,,no,non_sub,no
2025-01-08,4024737,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4024737.htm,,no,188000000,,,September 2035,0.0,2.0,98.0,0.0,"Construction Spares associated with the Virginia Class Block V submarines. Work will be performed in Sunnyvale, California 36% | South Yorkshire, United Kingdom 7% | Westfield, Massachusetts 6% | Staffordshire, United Kingdom 4% | McKeesport, Pennsylvania 3% | Manchester, New Hampshire 3% | Tacoma, Washington 3% | Newport News, Virginia 2% | Warren, Massachusetts 2% | Farmingdale, New York 2% | El Cajon, California 2% | Tucson, Arizona 1% | Chesapeake, Virginia 1% | Tampa, Florida 1% | Portsmouth, New Hampshire 1% | <other-locations-<1%> 26.0%","(Awarded Dec. 20, 2024.) General Dynamics Electric Boat Corp., Groton, Connecticut, is awarded a not-to-exceed $188,000,000 undefinitized contract action modification to previously awarded contract N00024-17-C-2100 for Construction Spares associated with the Virginia Class Block V submarines. Work will be performed in Sunnyvale, California (36%); South Yorkshire, United Kingdom (7%); Westfield, Massachusetts (6%); Staffordshire, United Kingdom (4%); McKeesport, Pennsylvania (3%); Manchester, New Hampshire (3%); Tacoma, Washington (3%); Newport News, Virginia (2%); Warren, Massachusetts (2%); Farmingdale, New York (2%); El Cajon, California (2%); Tucson, Arizona (1%); Chesapeake, Virginia (1%); Tampa, Florida (1%), Portsmouth, New Hampshire (1%); and other locations less than 1% (26%), and is expected to be completed by September 2035. Fiscal 2024 shipbuilding and conversion (Navy) funding in the amount of $188,000,000 will be obligated at time of award and will not expire at the end of the current fiscal year. The statutory authority for this sole source award is in accordance with Federal Acquisition Regulation 6.302-1(a)(2)(iii)-only one responsible source and no other supplies or services will satisfy agency requirements. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",va,va;sub_other,construction,construction,,yes,va,yes_new_construction
2025-01-08,4024737,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4024737.htm,,no,83729655,General Dynamics Electric Boat Corp.,"Groton, Connecticut",November 2027,0.0,0.0,0.0,0.0,,"General Dynamics Electric Boat Corp., Groton, Connecticut, was awarded an $83,729,655 cost-plus-incentive-fee modification to previously awarded contract N00024-20-C-4312 for efforts related to completion of the USS Hartford (SSN 768) engineered overhaul. Work will be performed in Groton, Connecticut, and is expected to be completed by November 2027. Fiscal 2025 operation and maintenance (Navy) funds in the amount of $81,325,569 will be obligated at the time of award and will expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, D.C., is the contracting activity.",va,va;sub_other,repair_overhaul,repair_overhaul,,no,va,yes_new_construction
2025-01-08,4024737,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4024737.htm,N00024-18-C-5218,no,70971132,Lockheed Martin Rotary and Mission Systems,"Manassas, Virginia",March 2026,0.0,0.0,100.0,0.0,"Work will be performed in Manassas, Virginia 70% | Lemont Furnace, Pennsylvania 15% | Syracuse, New York 13% | Clearwater, Florida 1% | Owego, New York 1%","Lockheed Martin Rotary and Mission Systems, Manassas, Virginia, was awarded a $70,971,132 cost-plus-incentive-fee, and cost only modification to previously awarded contract (N00024-18-C-5218) to exercise options and provide funding for engineering labor, program management and engineering other direct costs, travel, and material, in support of continued AN/SQQ-89A(V)15 Surface Ship Undersea Warfare Combat System development, integration, manufacture, production, and testing. Work will be performed in Manassas, Virginia (70%); Lemont Furnace, Pennsylvania (15%); Syracuse, New York (13%); Clearwater, Florida (1%); and Owego, New York (1%), and is expected to be completed by March 2026. This contract combines purchases for the Navy (69%); and the governments of Japan (16%) and Australia (15%), under the Foreign Military Sales (FMS) program. Fiscal 2023 shipbuilding and conversion (Navy) funds in the amount of $10,324,664 (49%); FMS (Japan) funds in the amount of $3,527,937 (16%); FMS (Australia) funds in the amount of $3,120,000 (15%); fiscal 2021 shipbuilding and conversion (Navy) funds in the amount of $2,765,402 (13%); fiscal 2022 shipbuilding and conversion (Navy) funds in the amount of $601,427 (3%); fiscal 2019 shipbuilding and conversion (Navy) funds in the amount of $458,480 (2%); fiscal 2020 shipbuilding and conversion (Navy) funds in the amount of $270,542 (1%); and fiscal 2016 shipbuilding and conversion (Navy) funds in the amount of $83,871 (1%), will be obligated at the time of award, of which $2,765,402 will expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",unknown,,fms,fms,,no,non_sub,no
2025-01-10,4026282,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4026282.htm,,no,175647555,Bechtel Plant Machinery Inc.,"Monroeville, Pennsylvania",September 2033,0.0,0.0,100.0,0.0,"Naval Nuclear Propulsion Components. Work will be performed in Monroeville, Pennsylvania 93% | Schenectady, New York 7%","Bechtel Plant Machinery Inc., Monroeville, Pennsylvania, was awarded a $175,647,555 cost-plus-fixed-fee modification to previously awarded contract N00024-24-C-2112 for Naval Nuclear Propulsion Components. Work will be performed in Monroeville, Pennsylvania (93%); and Schenectady, New York (7%), and is expected to be completed by September 2033. Fiscal 2025 other procurement (Navy) $168,829,269 (96%); and fiscal 2025 shipbuilding and conversion (Navy) $6,818,286 (4%) funding, will be obligated at time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",unknown,,component_procurement,,,yes,bpmi_nuclear,yes_supplier_or_gfe
2025-01-10,4026282,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4026282.htm,N00024-23-C-5401,no,8188022,Raytheon Co.,"Tucson, Arizona",March 2028,0.0,0.0,0.0,0.0,,"Raytheon Co., Tucson, Arizona, is awarded an $8,188,022 cost-plus-fixed-fee modification to previously awarded contract (N00024-23-C-5401) to exercise options for design agent and engineering support services for the Rolling Airframe Missile. Work will be performed in Tucson, Arizona, and is expected to be completed by March 2028. Fiscal 2023 shipbuilding and conversion (Navy) funds in the amount of $1,476,000 (54%); fiscal 2024 shipbuilding and conversion (Navy) funds in the amount of $992,000 (36%); and fiscal 2022 shipbuilding and conversion (Navy) funds in the amount of $263,597 (10%), will be obligated at time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",missile_weapons,missile_weapons,lead_yard,lead_yard;engineering,Y,no,non_sub,no
2025-01-14,4029162,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4029162.htm,N00024-24-C-5131,no,82292467,Lockheed Martin Rotary and Mission Systems,"Moorestown, New Jersey",December 2025,0.0,0.0,0.0,0.0,,"Lockheed Martin Rotary and Mission Systems, Moorestown, New Jersey, was awarded an $82,292,467 cost-plus-incentive-fee modification to a previously awarded contract (N00024-24-C-5131) to exercise options for AEGIS development and test sites operation and maintenance at the Combat Systems Engineering Development Site, SPY-1A Test Facility and Naval Systems Computing Center. Work will be performed in Moorestown, New Jersey, and is expected to be completed by December 2025. This contract combines purchases for the U.S. Government (68.53%); and the governments of South Korea (7.16%), Australia (7.08%), Japan (6.96%), Spain (5.43%), and Canada (4.84%), under the Foreign Military Sales (FMS) program. Fiscal 2021 shipbuilding and conversion (Navy) funds in the amount of $10,118,325 (45.79%); fiscal 2023 shipbuilding and conversion (Navy) funds in the amount of $1,865,092 (8.44%); fiscal 2025 research, development, test, and evaluation (Navy) funds in the amount of $1,729,705 (7.83%); fiscal 2025 FMS funds breakout as follows: South Korea funds in the amount of $1,581,379 (7.16%); Australia funds in the amount of $1,564,007 (7.08%); Japan funds in the amount of $1,537,366 (6.96%); Spain funds in the amount of $1,200,000 (5.43%); Canada $1,070,479 (4.84%); fiscal 2025 research, development, test, and evaluation (MDA) $1,018,615 (4.61%); fiscal 2024 research, development, test, and evaluation (Navy) $331,225 (1.50%); and fiscal 2024 weapons procurement (Navy) $82,048 (0.37%), will be obligated at the time of award, of which funding in the amount of $331,225 will expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",unknown,,fms,fms,,no,non_sub,no
2025-01-16,4032268,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4032268.htm,,no,39731584,Northrop Grumman Systems Corp.,"San Diego, California",,0.0,0.0,0.0,0.0,,"Northrop Grumman Systems Corp., San Diego, California, is awarded a $39,731,584 cost-plus-fixed-fee and cost-only modification to previously awarded contract N00024-24-C-6400 to exercise options for Joint Counter Radio-Controlled Improvised Explosive Device Electronic Warfare (JCREW) Increment One Block One (I1B1) engineering and sustainment support and associated other direct costs. Work will be performed in San Diego, California and is expected to be complete by February 2026. Fiscal 2025 research, development, test and evaluation (Air Force) in the amount of $1,465,771, will be obligated at time of award, and will not expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, District of Columbia is the contracting activity.",unknown,,sustainment_maintenance,sustainment_maintenance,,no,non_sub,no
2025-01-17,4033640,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4033640.htm,,no,280418928,,,January 2028,0.0,0.0,0.0,0.0,,"Lockheed Martin, Rotary and Mission Systems, Moorestown, New Jersey, is awarded a $280,418,928 cost-plus-fixed-fee, cost-plus-incentive-fee, and cost type modification to previously awarded contract N00024-23-C-5101 for combat systems engineering efforts of the planned modernization and new combat system capabilities selection for international partner Canadian Royal Navy ships operating AEGIS. Work will be performed in Moorestown, New Jersey and is expected to be completed by January 2028. Foreign Military Sales (Canada) (100%) funds in the amount of $126,174,827 will be obligated at time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",unknown,,sustainment_maintenance,sustainment_maintenance;fms,Y,no,non_sub,no
2025-01-21,4035485,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4035485.htm,,no,92674215,Lockheed Martin Rotary and Mission Systems,"Moorestown, New Jersey",December 2025,0.0,0.0,0.0,0.0,,"Lockheed Martin Rotary and Mission Systems, Moorestown, New Jersey, was awarded a $92,674,215 cost-plus-incentive-fee modification to previously awarded contract N00024-23-C-5123 to exercise options for engineering support, software development, in-service maintenance, integration, and logistics and fielding support for AEGIS combat system configurations. This contract combines purchases for the governments of Japan, South Korea and Australia under the Foreign Military Sales (FMS) program. Work will be performed in Moorestown, New Jersey, and is expected to be completed by December 2025. FMS Japan funds in the amount of $11,883,233.00 (39.19%); FMS Korea funds in the amount of $11,851,777.00 (39.08%); and FMS Australia funds in the amount of $6,590,468.32 (21.73%) will be obligated at the time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",unknown,,fms,fms;engineering,Y,no,non_sub,no
